Funder,Year,GLRI Amount,Project Type,Project Title,Recipient Name,Project Description,Focus Area,Project Start Date,Project End Date,Affected States,Latitude,Longitude
EPA,2016,"$70,722 ",New Project,Coastal Wetlands Protection - Phragmites Management,Great Lakes Indian Fish and Wildlife Commission,The Great Lakes Indian Fish and Wildlife Commission will eradicate invasive non-native phragmites from coastal wetlands and adjacent upland areas in the southwestern portion of the Lake Superior basin.  Recipient received a no-cost time extension 11/08/17 to complete the project on time.,2 - Invasive Species,5/1/2016,9/30/2018,WI,46.600137,-90.660861
EPA,2016,"$600,000 ",New Project,Collaboration to Halt The Spread of Invasive Species,Southeastern Wisconsin Invasive Species Consortium,"The Southeastern Wisconsin Invasive Species Consortium Inc. will implement a multi-organization collaboration to control the spread of invasive species along 2,000-miles of roadways and more than 600-acres of woodland habitat. The collaboration will include local government roadway crews, property owners, community-based organizations and school groups.",2 - Invasive Species,10/1/2017,9/30/2019,WI,42.779046,-87.872197
EPA,2016,"$539,605 ",New Project,Controlling Invasive Species in Northwest Michigan,Grand Traverse Conservation District,"The Grand Traverse Conservation District, following a civilian conservation corps model, will contain and attempt to eradicate invasive terrestrial plant species in high priority areas such as the Lake Michigan Dunes, Misty Acres Preserve, Trapp Farm, Timbers Recreation Area, and Reffitt Nature Preserve (up to 180-acres will be addressed).",2 - Invasive Species,7/17/2017,9/30/2019,MI,44.52798,-86.072458
EPA,2016,"$591,265 ",New Project,Controlling Invasive Species in the Southern Lake Michigan Watershed,Friends of the Forest Preserves,"The Friends of the Forest Preserve and its partners, will employ a 10-member youth conservation corps team to control invasive species in a 300-acre area of the southern Lake Michigan watershed (Calumet region of Cook County, Illinois).",2 - Invasive Species,7/17/2017,5/31/2019,IL,41.68356,-87.57052
EPA,2016,"$1,200,000 ",New Project,Early detection and rapid response treatment of the Hemlock Woolly Adelgid,WE MI Shoreline Reg Dvpmt Comm,"More than 100 million mature hemlock trees grow in Michigan providing important habitat and winter cover for many wildlife species. The invasive species, Adelges tsugae, feeds on the Hemlock and could destroy this important natural resource. The West Michigan Shoreline Regional Development Commission, with its partners, will launch efforts to eradicate this invasive species in Michigan. The project is expected to control approximately 800 acres.",2 - Invasive Species,9/1/2017,12/31/2019,MI,43.2374,-86.255047
EPA,2016,"$399,365 ",New Project,Early Detection of Benthic Arthropoda in the Great Lakes,Cornell University,Cornell University will generate succinct genetic sequence information for Great Lakes benthic arthropods. This project will support the monitoring and early detection of invasive species in the Great Lakes.,2 - Invasive Species,7/15/2017,7/14/2019,NY,42.448647,-76.479374
EPA,2016,"$399,853 ",New Project,Early Detection of Benthic Zooplankton in the Great Lakes,University of Notre Dame,The University of Notre Dame will generate succinct genetic sequence information for Great Lakes Benthic Zooplankton. This project will support the monitoring and early detection of invasive species in the Great Lakes.,2 - Invasive Species,7/15/2017,7/14/2019,IN,41.662364,-86.24587
EPA,2016,"$400,000 ",New Project,Early Detection of Mollusks and Annelids in the Great Lakes,SUNY-Buffalo State College,The Research Foundation for the State University of New York will generate succinct genetic sequence information for Great Lakes mollusks and annelids. This project will support the monitoring and early detection of invasive species in the Great Lakes.,2 - Invasive Species,7/15/2017,7/14/2019,NY,42.932604,-78.877938
EPA,2016,"$400,000 ",New Project,Early Detection of Oligochaetes and Chironmidaes in the Great Lakes,Central Michigan University,Central Michigan University will generate succinct genetic sequence information for Great Lakes Oligochaetes and Chironmidaes collected from coastal wetlands throughout the Great Lakes Basin. This project will support monitoring and early detection of invasive species in the Great Lakes.,2 - Invasive Species,7/15/2017,7/14/2019,MI,43.590661,-84.775626
EPA,2016,"$298,382 ",New Project,FOUNDATIONS FOR A WOODY ORNAMENTAL INVASIVE PLANT COLLABORATION,The Morton Arboretum,"The Morton Arboretum will create a workgroup of industry representatives and technical experts to minimize the environmental and economic impacts of woody ornamental invasive species in the Great Lakes Basin. The project will help control the current woody plants invasion and prevent its spread.
",2 - Invasive Species,9/29/2017,1/30/2021,Multi-state,41.8156,-88.069619
EPA,2016,"$299,474 ",New Project,Foundations for an Invasive Aquatic Plant Collaboration,Hobart and William Smith Colleges,"Hobart and William Smith Colleges will convene a workgroup of resource managers and stakeholders to minimize the impacts of the aquatic invasive plant species, Nitellopsis obtuse. The project will develop prevention strategies, refine control techniques, and enhance surveillance and control activities.",2 - Invasive Species,9/1/2017,8/31/2019,NY,42.859153,-76.984487
EPA,2016,"$299,864 ",New Project,Foundations for an Invasive Crayfish Collaboration,University of Illinois at Urbana-Champaign,"The University of Illinois Sea Grant program will establish a technical work group to improve the control and management of invasive crayfish species. This group will identify priority species, compile existing research on crayfish control, establish best management practices and develop tools for non-technical audiences.",2 - Invasive Species,10/1/2017,9/30/2019,IL,40.11095,-88.205599
EPA,2016,"$299,907 ",New Project,Foundations for an Invasive Grass Collaboration,Research Foundation of SUNY-Buffalo State College,"The Research Foundation for the State University of New York - Buffalo State, will work with the Western New York Partnership for Regional Invasive Species Management, to establish a workgroup to minimize the ecological threat posed by the Eurasian invasive grass species, Brachypodium sylvaticum. This group will survey the species, develop best management practices and implement control projects.",2 - Invasive Species,9/1/2017,12/31/2019,NY,42.9336,-78.88149
EPA,2016,"$344,076 ",New Project,Invasive Species Control and Restoration in the Lake Ontario Watershed,NYS Ofc. Of Parks Recreation & Historic Pres,"The New York State Office of Parks, Recreation and Historic Preservation will control invasive species in the Three Gorges in New York State parks, focusing on tributaries of Cayuga Lake. More than 440-acres will be managed through this project.",2 - Invasive Species,11/1/2017,3/31/2020,NY,42.993,-76.759832
EPA,2016,"$598,960 ",New Project,Invasive Species Control in New York’s Great Lakes Basin,Hobart and William Smith Colleges,"Hobart and William Smith Colleges will control the aquatic invasive plant species Hydrilla verticillata within 30 acres of Cayuga Lake. This invasive plant is extremely fast-growing, creating thick mats of vegetation which obstruct boating, fishing and swimming, and destroy spawning sites for native fish.  Shoreline property values can be diminished in areas where this invasive has taken over. This project will include training opportunities for about 1,100 community members.",2 - Invasive Species,9/1/2017,8/31/2019,NY,42.857647,-76.984129
EPA,2016,"$594,276 ",New Project,Lake Ontario Headwaters Integrated Aquatic Invasive Species Control Project,Paul Smith's College of Arts & Sciences,"Paul Smith's College will employ 31 people for the Lake Ontario Headwaters Integrated Aquatic Invasive Species Control Team in Adirondack Park (the headwaters of Lake Ontario). About 6,000 boats will be inspected to remove invasive organisms and prevent them from entering the watershed. More than 330 acres will be controlled through this project.",2 - Invasive Species,9/1/2017,1/31/2020,NY,43.7182,-74.895332
EPA,2016,"$887,700 ",New Project,New York State Parks Aquatic Invasive Species Strike Team,NYS Ofc. Of Parks Recreation & Historic Pres,"   The New York State Office of Parks, Recreation and Historic Preservation will use a conservation corps model to create at least seven new jobs to suppress, contain, and eradicate invasive species in waterbodies and adjacent wetlands, riparian areas and upland areas in 13 New York State parks located on Lake Ontario, Lake Erie, the Niagara River and the St. Lawrence River. Up to 965 acres will be addressed.",2 - Invasive Species,9/1/2017,3/31/2020,NY,42.6523,-73.748624
EPA,2016,"$840,740 ",New Project,Protecting Lower Northern Michigan from Invasive Species,Mason-Lake Conservation District,"The Mason-Lake Conservation District will expand its existing programs to manage invasive species in Lake, Mason, Mecosta, Missaukee, Osceola, and Wexford Counties. The North Country Cooperative Invasive Species Management Area engages businesses, local governments, non-profit organizations, and private land owners to treat high-priority invasive species. 130-acres will be controlled through this project.",2 - Invasive Species,8/1/2017,12/31/2019,MI,43.946006,-86.280472
EPA,2016,"$578,500 ",New Project,St. Lawrence River/Goose Bay/Indian River Lake Integrated Aquatic Invasive Species Control Project,Town of Alexandria,"The Town of Alexandria Bay, New York, will partner with several organizations to remove an invasive plant species from 460 acres in the headwaters of the Lake Ontario Watershed and to provide the equipment and training for long-term management.",2 - Invasive Species,10/1/2017,9/30/2019,NY,44.3348,-75.916117
EPA,2016,"$458,967 ",New Project,Stream Corps Restoration in the Lake Superior Watershed,Community Action Duluth-Stream Corps,"Community Action Duluth-Stream Corps, utilizing the civilian conservation corps model, will carry out restoration projects in the St. Louis River Area of Concern and the South Lake Superior Watershed. The project will eliminate or control invasive species on up to 300 acres. Stream Corps helps people learn marketable job skills while enhancing habitat and biodiversity.",2 - Invasive Species,8/1/2017,9/30/2019,MN,46.6848,-92.23561
EPA,2016,"$271,739 ",New Project,The Great Lakes New Zealand Mud Snail Collaborative,Trout Unlimited,"Trout Unlimited, Inc. will work with stakeholders to minimize the environmental and economic impacts of an invasive snail, Potamopyrgus antipodarum. The project will improve knowledge of the species so best management practices can be developed to control it.",2 - Invasive Species,9/1/2017,6/30/2020,Multi-state,42.2768,-83.743114
EPA,2016,"$2,206,676 ",New Project,Wisconsin Invasive Species Control,Wisconsin Department of Natural Resources,"The Wisconsin Department of Natural Resources, following a civilian conservation corps model, will hire two new employees to control invasive species in 900 acres of the Great Lakes Basin. Lake Winnebago Chain of Lakes and the Fox River above Green Bay will be targeted.",2 - Invasive Species,7/15/2017,9/30/2019,WI,44.221381,-88.61878
EPA,2017,"$599,905 ",New Project,Controlling Invasive Plants Along Chicago?s South Lakefront,Chicago Park District,"The Chicago Park District will treat, remove, and control invasive plant species along Chicago's South Lakefront (77 acres will be controlled). The project includes planting native species to enhance habitat and biodiversity.",2 - Invasive Species,9/1/2017,8/31/2019,IL,41.7807,-87.571657
EPA,2017,"$555,070 ",New Project,Invasive Species Control on Fish Spawning Reefs,The Nature Conservancy,"The Nature Conservancy will remove invasive invertebrates that feed on the eggs of native Lake Trout, Cisco, and Whitefish. The project will include manual removal and deployment of barriers to guard against the invertebrates’ ability to consume the native fish eggs. The decline in the native fish populations is caused by these invasive invertebrates. Control efforts will help restore native fish populations across the Great Lakes Basin. Up to 4 acres in Grand Traverse Bay will be controlled through this project.",2 - Invasive Species,9/1/2017,12/30/2019,MI,44.8335,-85.597508
EPA,2017,"$118,719 ",New Project,Managing Invasive Species on Pokagon Band of Potawatomi Tribal Land,Pokagon Band of Potawatomi Indians,"The Pokagon Band of Potawatomi Indians will reduce the number of invasive species on Tribal properties and plant a diverse array of native species. Approximately 300 acres will be restored. This project results in greater biodiversity of native plants, and increases the infiltration and filtration of surface runoff water, before discharge into the river systems of the Great Lakes.",2 - Invasive Species,9/1/2017,9/30/2019,Multi-state,41.9458,-86.1933
EPA,2017,"$1,197,346 ",New Project,Manitowoc County Collaborative Phragmites Control Project,Lakeshore Natural Resource Partnership Inc,"The Lakeshore Natural Resource Partnership will control invasive species on approximately 1370-acres of wetland and aquatic habitat in northeastern Wisconsin. The project will improve the ecosystem services and enhance tourism, property values, and navigation.",2 - Invasive Species,8/1/2017,12/31/2019,WI,44.1308,-87.760658
EPA,2017,"$194,067 ",New Project,Menominee River Watershed: Invasive Species Detection and Control,Dickinson Conservation District,"The Dickinson Conservation District - Wild Rivers Invasive Species Coalition and its partners will survey and control invasive species on off-road vehicle trails, road crossings, riparian areas and lakes in the Menominee River/Green Bay/Lake Michigan Watershed. At least 120 acres will be managed.",2 - Invasive Species,9/1/2017,10/30/2019,WI,45.5176,-87.8482
EPA,2017,"$393,750 ",New Project,Protecting Aquatic Ecosystems on Tribal Lands,Wisconsin Tribal Conservation Advisory Council Inc,"The Wisconsin Tribal Conservation Advisory Council (WTCAC) will employ four tribal civilian conservation corps, will work with eleven tribes to prevent degradation of subsistence fish and wild rice resources and manage aquatic, wetland, and terrestrial invasive species on over 500 acres of tribal lands.",2 - Invasive Species,8/1/2017,7/31/2019,WI,44.934877,-88.366294
EPA,2017,"$569,063 ",New Project,Tribal Invasive Plant Management Initiative,Saint Regis Mohawk Tribe,"The Saint Regis Mohawk Tribe Environment Division will use a conservation corps model and five employees to map and control Phragmites on approximately 30 acres of land along the St. Lawrence River. This will help restore native species, wildlife habitat and hydrology.",2 - Invasive Species,9/1/2017,8/31/2019,NY,44.3308,-75.908267
FS,2010,"$1,000,000 ",New Project,Cooperative Weed Management Areas,Dept. of Agriculture-U.S. Forest Service,"The U.S. Forest Service (USFS) will establish new Cooperative Weed Management Areas along the five Great Lakes shorelines and within the eight Great Lakes states, and strengthen existing Cooperative Weed Management Areas along the five Great Lakes shorelines and within the eight Great Lakes states.  These Cooperative Weed Management Areas will help integrate all invasive plant management resources across jurisdictional boundaries to benefit entire communities.  This project will help to establish or enhance invasive species early detection and rapid response networks.  The project will be completed by June 2012.    ",2 - Invasive Species,3/10/2012,9/30/2014,Multi-state,42.041205,-87.695575
FS,2010,"$800,000 ",New Project,Education/Outreach to Hunters/Anglers/Public on Invasive Species,Dept. of Agriculture-U.S. Forest Service,"The U.S. Forest Service (USFS) will provide outreach and education to hunters, anglers, boaters and the general public on the threats of aquatic and terrestrial non-native invasive species to the Great Lakes ecosystem.  Under one project, USFS will build and deploy two boat wash stations in the Ottawa National Forest by June 2011; associated brochures, signs and billboards will also be displayed. USFS will work with two key aquariums (Shedd in Chicago and Discovery World in Milwaukee) to develop invasive species education and outreach displays and materials. The USFS will also work with Wildlife Forever to conduct an extensive public outreach campaign through the media of television, radio, billboards and brochures to outreach to hunters and anglers by 2011.    ",2 - Invasive Species,3/10/2012,9/30/2014,Multi-state,41.867579,-87.613778
FS,2010,"$1,800,000 ",New Project,Emerald Ash Borer Prevention,Dept. of Agriculture-U.S. Forest Service,"The U.S. Forest Service (USFS) will work with forest landowners and communities to prevent, and actively prepare for, the Emerald Ash Borer, an invasive insect which attacks and destroys ash trees.  The Forest Service will take preventative measures but will also restore and rehabilitate those forests affected by the Emerald Ash Borer.  This project will be completed by 2012.",2 - Invasive Species,9/15/2010,3/31/2014,Multi-state,42.051205,-87.695575
FS,2010,"$1,200,000 ",New Project,Forest Habitat Restoration and Rehabilitation,Dept. of Agriculture-U.S. Forest Service,"The U.S. Forest Service (USFS) will maintain water levels in coastal and inland wetlands (the Black Ash Swamp Restoration) by diversifying forest canopy. The USFS will work to further diversify forests in the Great Lakes basin, develop seed collection protocols for black ash, and restore culturally-significant black ash swamps by June 2012.   ",2 - Invasive Species,9/15/2010,3/31/2014,Multi-state,44.6539,-87.5315
FS,2011,"$51,000 ",New Project,Aquatic Invasive Species Treatment,Dept. of Agriculture-U.S. Forest Service,"This project will treat and control aquatic invasive species using herbicides (chemical), mechanical (pulling) and/or biological agents (millfoil weevils and flea beetles) on known infestations of phragmites and purple loosestrife in lakes, wetlands and streams on National Forest and adjacent lands.",2 - Invasive Species,9/30/2011,12/30/2012,MI,44.24815,-85.88974
FS,2011,"$500,000 ",Increase,Cooperative Weed Management Areas,Dept. of Agriculture-U.S. Forest Service,"The U.S. Forest Service (USFS) will establish new Cooperative Weed Management Areas along the five Great Lakes shorelines and within the eight Great Lakes states, and strengthen existing Cooperative Weed Management Areas along the five Great Lakes shorelines and within the eight Great Lakes states.  These Cooperative Weed Management Areas will help integrate all invasive plant management resources across jurisdictional boundaries to benefit entire communities.  This project will help to establish or enhance invasive species early detection and rapid response networks.  The project will be completed by June 2012.    ",2 - Invasive Species,6/15/2011,9/30/2015,Multi-State,42.041205,-87.695575
FS,2011,"$750,000 ",Increase,Education/Outreach to Hunters/Anglers/Public on Invasive Species,Dept. of Agriculture-U.S. Forest Service,"The U.S. Forest Service (USFS) will provide outreach and education to hunters, anglers, boaters and the general public on the threats of aquatic and terrestrial non-native invasive species to the Great Lakes ecosystem.  Under one project, USFS will build and deploy two boat wash stations in the Ottawa National Forest by June 2011; associated brochures, signs and billboards will also be displayed. USFS will work with two key aquariums (Shedd in Chicago and Discovery World in Milwaukee) to develop invasive species education and outreach displays and materials. The USFS will also work with Wildlife Forever to conduct an extensive public outreach campaign through the media of television, radio, billboards and brochures to outreach to hunters and anglers by 2011.    ",2 - Invasive Species,6/15/2011,9/30/2014,Multi-state,41.867579,-87.613778
FS,2011,"$1,360,000 ",Increase,Forest Habitat Restoration and Rehabilitation,Dept. of Agriculture-U.S. Forest Service,"The U.S. Forest Service (USFS) will maintain water levels in coastal and inland wetlands (the Black Ash Swamp Restoration) by diversifying forest canopy. The USFS will work to further diversify forests in the Great Lakes basin, develop seed collection protocols for black ash, and restore culturally-significant black ash swamps by June 2012.   ",2 - Invasive Species,2/14/2012,9/30/2014,Multi-state,44.6539,-87.5315
FS,2012,"$421,500 ",Increase,Cooperative Weed Management Areas,Dept. of Agriculture-U.S. Forest Service,"The U.S. Forest Service (USFS) will establish new Cooperative Weed Management Areas along the five Great Lakes shorelines and within the eight Great Lakes states, and strengthen existing Cooperative Weed Management Areas along the five Great Lakes shorelines and within the eight Great Lakes states.  These Cooperative Weed Management Areas will help integrate all invasive plant management resources across jurisdictional boundaries to benefit entire communities.  This project will help to establish or enhance invasive species early detection and rapid response networks.  The project will be completed by June 2012.    ",2 - Invasive Species,6/27/2012,12/30/2016,Multi-State,42.041205,-87.695575
FS,2012,"$841,580 ",Increase,Education/Outreach to Hunters/Anglers/Public on Invasive Species,Dept. of Agriculture-U.S. Forest Service,"The U.S. Forest Service (USFS) will provide outreach and education to hunters, anglers, boaters and the general public on the threats of aquatic and terrestrial non-native invasive species to the Great Lakes ecosystem.  Under one project, USFS will build and deploy two boat wash stations in the Ottawa National Forest by June 2011; associated brochures, signs and billboards will also be displayed. USFS will work with two key aquariums (Shedd in Chicago and Discovery World in Milwaukee) to develop invasive species education and outreach displays and materials. The USFS will also work with Wildlife Forever to conduct an extensive public outreach campaign through the media of television, radio, billboards and brochures to outreach to hunters and anglers by 2011.    ",2 - Invasive Species,6/27/2012,12/30/2016,Multi-state,41.867579,-87.613778
FS,2012,"$1,265,500 ",Increase,Forest Habitat Restoration and Rehabilitation,Dept. of Agriculture-U.S. Forest Service,"The U.S. Forest Service (USFS) will maintain water levels in coastal and inland wetlands (the Black Ash Swamp Restoration) by diversifying forest canopy. The USFS will work to further diversify forests in the Great Lakes basin, develop seed collection protocols for black ash, and restore culturally-significant black ash swamps by June 2012.   ",2 - Invasive Species,10/11/2012,12/30/2016,Multi-state,44.6539,-87.5315
FS,2013,"$472,165 ",Increase,Cooperative Weed Management Areas,Dept. of Agriculture-U.S. Forest Service,"The U.S. Forest Service (USFS) will establish new Cooperative Weed Management Areas along the five Great Lakes shorelines and within the eight Great Lakes states, and strengthen existing Cooperative Weed Management Areas along the five Great Lakes shorelines and within the eight Great Lakes states.  These Cooperative Weed Management Areas will help integrate all invasive plant management resources across jurisdictional boundaries to benefit entire communities.  This project will help to establish or enhance invasive species early detection and rapid response networks.  The project will be completed by June 2012.    ",2 - Invasive Species,9/1/2013,12/30/2017,Multi-State,42.041205,-87.695575
FS,2013,"$631,057 ",Increase,Education/Outreach to Hunters/Anglers/Public on Invasive Species,Dept. of Agriculture-U.S. Forest Service,"The U.S. Forest Service (USFS) will provide outreach and education to hunters, anglers, boaters and the general public on the threats of aquatic and terrestrial non-native invasive species to the Great Lakes ecosystem.  Under one project, USFS will build and deploy two boat wash stations in the Ottawa National Forest by June 2011; associated brochures, signs and billboards will also be displayed. USFS will work with two key aquariums (Shedd in Chicago and Discovery World in Milwaukee) to develop invasive species education and outreach displays and materials. The USFS will also work with Wildlife Forever to conduct an extensive public outreach campaign through the media of television, radio, billboards and brochures to outreach to hunters and anglers by 2011.    ",2 - Invasive Species,9/1/2013,12/30/2017,Multi-state,41.867579,-87.613778
FS,2013,"$1,072,230 ",Increase,Forest Habitat Restoration and Rehabilitation,Dept. of Agriculture-U.S. Forest Service,"The U.S. Forest Service (USFS) will maintain water levels in coastal and inland wetlands (the Black Ash Swamp Restoration) by diversifying forest canopy. The USFS will work to further diversify forests in the Great Lakes basin, develop seed collection protocols for black ash, and restore culturally-significant black ash swamps by June 2012.   ",2 - Invasive Species,9/1/2013,12/30/2017,Multi-state,44.6539,-87.5315
FS,2014,"$471,450 ",Continuation,Cooperative Weed Management Areas,Dept. of Agriculture-U.S. Forest Service,"The U.S. Forest Service (USFS) will establish new Cooperative Weed Management Areas along the five Great Lakes shorelines and within the eight Great Lakes states, and strengthen existing Cooperative Weed Management Areas along the five Great Lakes shorelines and within the eight Great Lakes states.  These Cooperative Weed Management Areas will help integrate all invasive plant management resources across jurisdictional boundaries to benefit entire communities.  This project will help to establish or enhance invasive species early detection and rapid response networks.  The project will be completed by June 2012.    ",2 - Invasive Species,6/30/2014,12/30/2018,Multi-state,42.041205,-87.695575
FS,2014,"$690,100 ",Continuation,Education/Outreach to Hunters/Anglers/Public on Invasive Species,Dept. of Agriculture-U.S. Forest Service,"The U.S. Forest Service (USFS) will provide outreach and education to hunters, anglers, boaters and the general public on the threats of aquatic and terrestrial non-native invasive species to the Great Lakes ecosystem.  Under one project, USFS will build and deploy two boat wash stations in the Ottawa National Forest by June 2011; associated brochures, signs and billboards will also be displayed. USFS will work with two key aquariums (Shedd in Chicago and Discovery World in Milwaukee) to develop invasive species education and outreach displays and materials. The USFS will also work with Wildlife Forever to conduct an extensive public outreach campaign through the media of television, radio, billboards and brochures to outreach to hunters and anglers by 2011.    ",2 - Invasive Species,6/30/2014,12/30/2017,Multi-state,41.867579,-87.613778
FS,2014,"$1,185,584 ",Continuation,Forest Habitat Restoration and Rehabilitation,Dept. of Agriculture-U.S. Forest Service,"The U.S. Forest Service (USFS) will maintain water levels in coastal and inland wetlands (the Black Ash Swamp Restoration) by diversifying forest canopy. The USFS will work to further diversify forests in the Great Lakes basin, develop seed collection protocols for black ash, and restore culturally-significant black ash swamps by June 2012.   ",2 - Invasive Species,6/30/2014,12/30/2018,Multi-state,44.6539,-87.5315
FS,2015,"$292,072 ",Continuation,Blocking the Recreational Boat Pathway,Dept. of Agriculture-U.S. Forest Service,"The U.S. Forest Service (USFS) will provide outreach and education to hunters, anglers, boaters and the general public on the threats of aquatic and terrestrial non-native invasive species to the Great Lakes ecosystem.  Under one project, USFS will build and deploy two boat wash stations in the Ottawa National Forest by June 2011; associated brochures, signs and billboards will also be displayed. USFS will work with two key aquariums (Shedd in Chicago and Discovery World in Milwaukee) to develop invasive species education and outreach displays and materials. The USFS will also work with Wildlife Forever to conduct an extensive public outreach campaign through the media of television, radio, billboards and brochures to outreach to hunters and anglers by 2011.    ",2 - Invasive Species,5/28/2015,12/30/2019,Multi-state,41.867579,-87.613778
FS,2015,"$475,000 ",Continuation,Cooperative Weed Management Areas,Dept. of Agriculture-U.S. Forest Service,"The U.S. Forest Service (USFS) will establish new Cooperative Weed Management Areas along the five Great Lakes shorelines and within the eight Great Lakes states, and strengthen existing Cooperative Weed Management Areas along the five Great Lakes shorelines and within the eight Great Lakes states.  These Cooperative Weed Management Areas will help integrate all invasive plant management resources across jurisdictional boundaries to benefit entire communities.  This project will help to establish or enhance invasive species early detection and rapid response networks.  The project will be completed by June 2012.    ",2 - Invasive Species,5/28/2015,12/30/2019,Multi-state,42.041205,-87.695575
FS,2015,"$1,001,847 ",Continuation,Forest Habitat Restoration and Rehabilitation,Dept. of Agriculture-U.S. Forest Service,"The U.S. Forest Service (USFS) will maintain water levels in coastal and inland wetlands (the Black Ash Swamp Restoration) by diversifying forest canopy. The USFS will work to further diversify forests in the Great Lakes basin, develop seed collection protocols for black ash, and restore culturally-significant black ash swamps by June 2012.   ",2 - Invasive Species,5/28/2015,12/30/2019,Multi-state,44.6539,-87.5315
FS,2015,"$395,000 ",Continuation,Invasive Species Pathways Education,Dept. of Agriculture-U.S. Forest Service,"The U.S. Forest Service (USFS) will provide outreach and education to hunters, anglers, boaters and the general public on the threats of aquatic and terrestrial non-native invasive species to the Great Lakes ecosystem.  Under one project, USFS will build and deploy two boat wash stations in the Ottawa National Forest by June 2011; associated brochures, signs and billboards will also be displayed. USFS will work with two key aquariums (Shedd in Chicago and Discovery World in Milwaukee) to develop invasive species education and outreach displays and materials. The USFS will also work with Wildlife Forever to conduct an extensive public outreach campaign through the media of television, radio, billboards and brochures to outreach to hunters and anglers by 2011.    ",2 - Invasive Species,5/28/2015,12/30/2019,Multi-state,41.867579,-87.613778
FS,2016,"$227,299 ",Continuation,Blocking the Recreational Boat Pathway,Dept. of Agriculture-U.S. Forest Service,"The U.S. Forest Service (USFS) will provide outreach and education to hunters, anglers, boaters and the general public on the threats of aquatic and terrestrial non-native invasive species to the Great Lakes ecosystem.  Under one project, USFS will build and deploy two boat wash stations in the Ottawa National Forest by June 2011; associated brochures, signs and billboards will also be displayed. USFS will work with two key aquariums (Shedd in Chicago and Discovery World in Milwaukee) to develop invasive species education and outreach displays and materials. The USFS will also work with Wildlife Forever to conduct an extensive public outreach campaign through the media of television, radio, billboards and brochures to outreach to hunters and anglers by 2011.    ",2 - Invasive Species,4/27/2016,12/30/2020,Multi-state,41.867579,-87.613778
FS,2016,"$584,483 ",Continuation,Cooperative Weed Management Areas,Dept. of Agriculture-U.S. Forest Service,"The U.S. Forest Service (USFS) will establish new Cooperative Weed Management Areas along the five Great Lakes shorelines and within the eight Great Lakes states, and strengthen existing Cooperative Weed Management Areas along the five Great Lakes shorelines and within the eight Great Lakes states.  These Cooperative Weed Management Areas will help integrate all invasive plant management resources across jurisdictional boundaries to benefit entire communities.  This project will help to establish or enhance invasive species early detection and rapid response networks.  The project will be completed by June 2012.    ",2 - Invasive Species,4/27/2016,12/30/2020,Multi-state,42.041205,-87.695575
FS,2016,"$1,363,795 ",Continuation,Forest Habitat Restoration and Rehabilitation,Dept. of Agriculture-U.S. Forest Service,"The U.S. Forest Service (USFS) will maintain water levels in coastal and inland wetlands (the Black Ash Swamp Restoration) by diversifying forest canopy. The USFS will work to further diversify forests in the Great Lakes basin, develop seed collection protocols for black ash, and restore culturally-significant black ash swamps by June 2012.   ",2 - Invasive Species,4/27/2016,12/30/2020,Multi-state,44.6539,-87.5315
FS,2016,"$422,127 ",Continuation,Invasive Species Pathways Education,Dept. of Agriculture-U.S. Forest Service,"The U.S. Forest Service (USFS) will provide outreach and education to hunters, anglers, boaters and the general public on the threats of aquatic and terrestrial non-native invasive species to the Great Lakes ecosystem.  Under one project, USFS will build and deploy two boat wash stations in the Ottawa National Forest by June 2011; associated brochures, signs and billboards will also be displayed. USFS will work with two key aquariums (Shedd in Chicago and Discovery World in Milwaukee) to develop invasive species education and outreach displays and materials. The USFS will also work with Wildlife Forever to conduct an extensive public outreach campaign through the media of television, radio, billboards and brochures to outreach to hunters and anglers by 2011.    ",2 - Invasive Species,4/27/2016,12/30/2020,Multi-state,41.867579,-87.613778
FS,2017,"$295,000 ",Continuation,Blocking the Recreational Boat Pathway,Dept. of Agriculture-U.S. Forest Service,"The U.S. Forest Service (USFS) will provide outreach and education to hunters, anglers, boaters and the general public on the threats of aquatic and terrestrial non-native invasive species to the Great Lakes ecosystem.  Under one project, USFS will build and deploy two boat wash stations in the Ottawa National Forest by June 2011; associated brochures, signs and billboards will also be displayed. USFS will work with two key aquariums (Shedd in Chicago and Discovery World in Milwaukee) to develop invasive species education and outreach displays and materials. The USFS will also work with Wildlife Forever to conduct an extensive public outreach campaign through the media of television, radio, billboards and brochures to outreach to hunters and anglers by 2011.    ",2 - Invasive Species,8/22/2017,9/30/2022,Multi-state,41.867579,-87.613778
FS,2017,"$630,000 ",Continuation,Cooperative Weed Management Areas,Dept. of Agriculture-U.S. Forest Service,"The U.S. Forest Service (USFS) will establish new Cooperative Weed Management Areas along the five Great Lakes shorelines and within the eight Great Lakes states, and strengthen existing Cooperative Weed Management Areas along the five Great Lakes shorelines and within the eight Great Lakes states.  These Cooperative Weed Management Areas will help integrate all invasive plant management resources across jurisdictional boundaries to benefit entire communities.  This project will help to establish or enhance invasive species early detection and rapid response networks.  The project will be completed by June 2012.    ",2 - Invasive Species,8/22/2017,9/30/2022,Multi-state,42.041205,-87.695575
